ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	4249	1	0	0.000000	70.276536	68.267592	0.000000	0.000000	0	906	0
2	615	1	2	0.000000	3912.518699	3071.902439	0.000000	0.000000	0	8732	0
3	2	1	2	0.000000	3797.500000	1550.000000	0.000000	0.000000	0	1815	0
4	7	5	2	0.000000	3810.428571	1442.857143	0.000000	0.000000	0	1878	0
5	1	4	1	0.000000	2391.000000	1337.000000	0.000000	0.000000	0	1150	0
6	2	5	1	0.000000	1105.000000	1025.500000	0.000000	0.000000	0	527	0
7	1	2	1	0.000000	210.000000	207.000000	0.000000	0.000000	0	105	0
8	1	2	1	0.000000	142.000000	140.000000	0.000000	0.000000	0	71	0
9	16648	0	1	0.000000	70.663743	67.955790	0.000000	0.000000	0	3552	0
10	7	2	1	0.000000	162.285714	162.285714	0.000000	0.000000	0	120	0
11	2	0	1	0.000000	153.000000	153.000000	0.000000	0.000000	0	79	0
12	12	1	0	0.000000	286.000000	177.166667	0.000000	0.000000	0	256	0
13	1	4	1	0.000000	1226.000000	1215.000000	0.000000	0.000000	0	589	0
14	3	2	1	0.000000	304.333333	304.333333	0.000000	0.000000	0	181	0
15	1	1	1	0.000000	80.000000	80.000000	0.000000	0.000000	0	39	0
16	15	0	2	0.000000	229.133333	227.666667	0.000000	0.000000	0	124	0
17	1	3	1	0.000000	383.000000	378.000000	0.000000	0.000000	0	176	0
18	3	0	1	0.000000	130.666667	126.666667	0.000000	0.000000	0	61	0
19	11	2	0	0.000000	111.818182	70.000000	0.000000	0.000000	0	91	0
20	43	0	1	0.000000	69.511628	68.441860	0.000000	0.000000	0	62	0
21	54	1	1	0.000000	81.759259	80.870370	0.000000	0.000000	0	104	0
22	2	2	2	0.000000	233.500000	233.500000	0.000000	0.000000	0	135	0
23	14204	0	0	0.000000	64.984300	24.654604	0.000000	0.000000	0	2825	0
24	2	1	0	0.000000	179.000000	178.500000	0.000000	0.000000	0	93	0
